Height,Weight,BMI,Diet Plan,Whole Grain Toast,Avocado,Poached Egg/Smoked Salmon,Greek Yogurt,Honey(tbsp),Smoothie(with Milk),Smoothie(Low Fat),Fruit(100g),Nut Butter,Egg,Nuts/Granola,Oatmeal,Almond Milk/Low Fat Milk,Veggie Omlette(Egg White)/Egg Substitute,Fruit Salad
168,63,22.32,Maintain Weight,1,2,1,2,1,0,2,2,1,0,0,0,0,0,0
174,74,24.44,Maintain Weight,1,1,2,1,2,0,2,2,1,0,0,0,0,0,0
169,68,23.81,Maintain Weight,1,1,1,2,2,0,2,1,1,0,0,0,0,0,0
175,77,25.14,Lose Weight,0,0,0,2,2,0,0,1,0,0,1,2,1,1,1
171,72,24.62,Maintain Weight,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0
178,81,25.56,Lose Weight,0,0,0,1,1,0,0,2,0,0,1,1,1,2,1
163,58,21.83,Maintain Weight,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
170,71,24.57,Maintain Weight,1,2,2,1,1,0,2,1,1,0,0,0,0,0,0
177,79,25.22,Lose Weight,0,0,0,2,1,0,0,2,0,0,2,2,1,1,2
175,77,25.14,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,1,2,1,1
172,73,24.68,Maintain Weight,1,2,1,1,2,0,2,2,1,0,0,0,0,0,0
