Height,Weight,BMI,Diet Plan,Mixed Greens Salad,Grilled Chicken/Shrimp,Avocado,Vinaigrette Dressing,Turkey/Chicken Breast Sandwich,Roasted Vegetables/Salad,Veggie Burger on a Whole Grain Bread,Grilled Chicken/Fish,Whole-grain Wrap with Hummus/Grilled Vegetables,Lentil/Bean Soup,Whole-grain Bread,Quinoa/Brown Rice and Vegetables,Turkey/Veggie Burger,Sweet Potato Fries,Tuna Salad,Whole-grain Crackers
167,63,22.59,Maintain Weight,2,0,0,0,0,1,0,2,1,2,1,0,0,0,0,0
169,69,24.16,Maintain Weight,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0
175,77,25.14,Lose Weight,1,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0
174,75,24.77,Maintain Weight,2,0,0,0,0,2,0,1,1,2,1,0,0,0,0,0
180,88,27.16,Lose Weight,2,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0
165,58,21.3,Maintain Weight,1,0,0,0,0,2,0,2,1,1,2,0,0,0,0,0
171,73,24.96,Maintain Weight,1,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0
168,64,22.68,Maintain Weight,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
179,82,25.59,Lose Weight,2,2,1,2,2,2,1,0,0,0,1,0,0,0,0,0
172,72,24.34,Maintain Weight,2,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
176,78,25.18,Lose Weight,1,1,2,2,1,1,1,0,0,0,1,0,0,0,0,0
173,75,25.06,Lose Weight,1,1,2,2,2,1,2,0,0,0,1,0,0,0,0,0
180,87,26.85,Lose Weight,1,2,1,1,2,1,1,0,0,0,1,0,0,0,0,0
165,59,21.67,Maintain Weight,2,0,0,0,0,1,0,2,2,2,1,0,0,0,0,0
177,80,25.54,Lose Weight,2,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0
170,70,24.22,Maintain Weight,1,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0
168,63,22.32,Maintain Weight,1,0,0,0,0,2,0,2,1,1,2,0,0,0,0,0
174,74,24.44,Maintain Weight,1,0,0,0,0,2,0,2,2,1,1,0,0,0,0,0
169,68,23.81,Maintain Weight,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0
175,77,25.14,Lose Weight,2,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0
171,72,24.62,Maintain Weight,1,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0
178,81,25.56,Lose Weight,2,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0
163,58,21.83,Maintain Weight,1,0,0,0,0,2,0,2,2,1,1,0,0,0,0,0
170,71,24.57,Maintain Weight,2,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0
177,79,25.22,Lose Weight,1,1,2,1,1,2,2,0,0,0,1,0,0,0,0,0
175,77,25.14,Lose Weight,1,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0
172,73,24.68,Maintain Weight,2,0,0,0,0,1,0,2,2,1,2,0,0,0,0,0
